CODE,Title_Name
10000,Miscellaneous Insects and Allies
10001,Thrips
10002,Pine Tip Moths
10003,Wasp
10004,Chinese Rose Beetle
10005,Rose Beetle
10006,Coconut Hispid Beetle
10007,Clerid Beetle
10008,Weevil
10009,Green Rose Chafer
10010,Allegheny Mound Ant
10011,Ants
10012,Stick Insect
10013,<Hulodes Caranea>
10014,Conifer Swift Moth
10015,Caroline Shortnosed Weevil
10016,Coconut Rhinoceros Beetle
10017,Bagworm Moth
10018,Coconut Palm Weevil
10019,Scarab
10020,Ash Whitefly
10021,Conifer Seedling Weevil
10022,Pyralid Moth
10023,Horntails
10024,Eurytomid Wasps
10025,Blister Beetle
10600,Predatory Insects and Allies
10601,Clerid Beetle
10602,Lacewings
10603,Blackbellied Clerid
10604,Redbellied Clerid
10605,Red Wood Ant
10606,Western Yellowjacket
10800,"Other Miscellaneous Insect or Ally, Known, (Code Pending)"
10801,Other Predatory Insect or Ally (Known)
10900,Unknown Miscellaneous Insect Or Ally
10901,Unknown Predator Insect or Ally
11000,Bark Beetles
11001,Roundheaded Pine Beetle
11002,Western Pine Beetle
11003,Southern Pine Beetle
11004,Jeffrey Pine Beetle
11005,Lodgepole Pine Beetle
11006,Mountain Pine Beetle
11007,Douglas-fir Beetle
11008,Boreal Spruce Beetle
11009,Spruce Beetle
11010,Eastern Larch Beetle
11011,Black Turpentine Beetle
11012,Red Turpentine Beetle
11013,Goldhaired Spruce Engraver
11014,<Dryocoetes Autographus>
11015,Western Balsam Bark Beetle
11016,<Dryocoetes Sechelti>
11017,Ash Bark Beetles
11018,Native Elm Bark Beetle
11019,Pinyon Ips
11020,Small Southern Pine Engraver
11021,Sixspined Ips
11022,Emarginate Ips
11023,Eastern Fivespined Ips
11024,<Orthotomicus Latidens>
11025,Arizona Fivespined Ips
11026,False Pine Engraver
11027,California Fivespined Ips
11028,Northern Spruce Engraver
11029,Pine Engraver
11030,Ips Engraver Beetles
11031,Lesser Spruce Engraver
11032,Western Ash Bark Beetle
11033,Oregon Ash Bark Beetle
11034,<Orthotomicus Caelatus>
11035,Cedar & Cypress Bark Beetles
11036,Western Cedar Bark Beetle
11037,Tip Beetles
11038,<Pityophthorus Pseudotsugae>
11039,Twig Beetles
11040,Foureyed Spruce Bark Beetle
11041,Fir Root Bark Beetle
11042,<Pseudohylesinus Dispar>
11043,Douglas-fir Pole Beetle
11044,Silver Fir Beetle
11045,Smaller European Elm Bark Beetle
11046,Spruce Limb Engraver
11047,Hickory Bark Beetle
11048,True Fir Bark Beetles
11049,Douglas-fir Engraver
11050,Fir Engraver
11051,Striped Ambrosia Beetle
11052,Sitka Spruce Engraver
11053,Four-Eyed Bark Beetle
11054,Hemlock Beetle
11055,Southern Spruce Engraver
11056,Smaller Mexican Pine Beetle
11057,Banded Elm Bark Beetle
11058,Redbay Ambrosia Beetle
11059,Southern Cypress Beetle
11060,Mediterranean Pine Engraver
11061,European Bark Beetle (H. Opacus)
11062,Redhaired Pine Bark Beetle
11063,Blue Spruce Engraver
11064,European Spruce Bark Beetle
11065,European Silver Fir Beetle
11066,Walnut Twig Beetle
11067,Aspen Bark Beetle (Trypophloeus)
11068,Aspen Bark Beetle (Procryphalus)
11069,Peach Bark Beetle
11070,Mediterranean Oak Borer
11071,Southwestern Pine Beetle
11800,"Other Bark Beetle, Known (Code Pending)"
11900,Unknown Bark Beetle
11999,Western Bark Beetle Complex
12000,Defoliators
12001,Casebearer
12002,Leaftier
12003,Loopers
12004,Needleminers
12005,Sawflies
12006,Skeletonizer
12007,Larger Elm Leaf Beetle
12008,Spanworm
12009,Webworm
12010,Pine False Webworm
12011,Western Blackheaded Budworm
12012,Eastern Blackheaded Budworm
12013,Whitefly
12014,Fall Cankerworm
12015,Alder Flea Beetle
12016,Mountain Mahogany Looper
12017,Birch Leaffolder
12018,Oak Worms
12019,Orangestriped Oakworm
12020,Western Larch Sawfly
12021,Fruittree Leafroller
12022,Uglynest Caterpillar
12023,Boxelder Defoliator
12024,Oak Leafroller
12025,Birch Sawfly
12026,Arborvitae Leafminer
12027,Coconut Scale
12028,Texas Leafcutting Ant
12029,Oak Skeletonizer
12030,Pear Sawfly
12031,Scarlet Oak Sawfly
12032,Elm Calligrapha
12033,Boxelder Leafroller
12034,Maple Petiole Borer
12035,Spruce Webspinning Sawfly
12036,Two-year-cycle Budworm
12037,Large Aspen Tortrix
12038,Spruce Budworm
12039,Western Pine Budworm
12040,Western Spruce Budworm
12041,Jack Pine Budworm
12042,Modoc Budworm
12043,Aspen Leaf Beetle
12044,Cottonwood Leaf Beetle
12045,Leafhopper
12046,Poplar Tentmaker
12047,Larch Casebearer
12048,Birch Casebearer
12049,Lodgepole Needleminer
12050,Gelechiid Moths/Needleminers
12051,Black Hills Pandora Moth
12052,Pandora Moth
12053,Sycamore Lace Bug
12054,Lace Bugs
12055,Oak Leaftier
12056,Dusky Birch Sawfly
12057,Walnut Caterpillar
12058,Yellownecked Caterpillar
12059,Walkingstick
12060,Spruce Coneworm
12061,Introduced Pine Sawfly
12062,Greenstriped Mapleworm
12063,Spruce Needleminer
12064,Elm Spanworm
12065,Maple Trumpet Skeletonizer
12066,White Fir Needleminer
12067,Linden Looper
12068,Browntail Moth
12069,Pine Needleminer
12070,Birch Leafminer
12071,Elm Leafminer
12072,Geometrid Moth
12073,Leafblotch Miner
12074,Spotted Tussock Moth
12075,Pale Tussock Moth
12076,Hesperiid Moth
12077,Brown Day Moth
12078,Buck Moth
12079,Saddled Prominent
12080,Variable Oakleaf Caterpillar
12081,Cherry Scallop Shell Moth
12082,Fall Webworm
12083,Hemlock Looper
12084,Oak Looper
12085,Tent Caterpillar Moth
12086,Satin Moth
12087,Willow Leafblotch Miner
12088,Aspen Blotchminer
12089,Spongy Moth
12090,Cottonwood Leafminers
12091,Dogwood Sawfly
12092,Rose Chafer
12093,Eastern Tent Caterpillar
12094,Western Tent Caterpillar
12095,Pacific Tent Caterpillar
12096,Forest Tent Caterpillar
12097,Southwestern Tent Caterpillar
12098,Leafcutting Bees
12099,Blister Beetle
12100,Early Birch Leaf Edgeminer
12101,Juniper Sawfly
12102,Common Sawflies
12103,Balsam Fir Sawfly
12104,Lodgepole Sawfly
12105,Blackheaded Pine Sawfly
12106,Pine Infesting Sawflies
12107,Redheaded Pine Sawfly
12109,Ponderosa Pine Sawfly
12110,White Pine Sawfly
12111,Jack Pine Sawfly
12112,Virginia Pine Sawfly
12113,European Pine Sawfly
12114,Loblolly Pine Sawfly
12115,Hemlock Sawfly
12116,Pine Butterfly
12117,False Hemlock Looper
12118,California Tortoiseshell
12119,Locust Leafminer
12120,Bruce Spanworm
12121,Rusty Tussock Moth
12122,Whitemarked Tussock Moth
12123,Douglas-fir Tussock Moth
12124,Western Tussock Moth
12125,Spring Cankerworm
12126,Black Citrus Swallowtail Butterfly
12127,Maple Leafcutter
12128,Pine Tussock Moth
12129,Poinciana Looper
12130,Half-Wing Geometer
12131,Phoberia Moth
12132,California Oakworm
12133,European Snout Beetle
12134,Citrus Leafminer
12135,Aspen Leafminer
12136,Yellowheaded Spruce Sawfly
12137,Tenlined June Beetle
12138,Japanese Beetle
12139,Larch Sawfly
12140,Mountain-Ash Sawfly
12141,Elm Leaf Beetle
12142,Spear-Marked Black Moth
12143,Giant Silkworm Moth
12144,Redhumped Caterpillar
12145,Redbanded Thrips
12146,Green Larch Looper
12147,Maple Leafroller 
12148,Redhumped Oakworm
12149,Orangehumped Mapleworm
12150,Spruce Needleminer
12151,Maple Webworm
12152,Pine Webworm
12153,Introduced Basswood Thrips
12154,Bagworm
12155,Leafroller/Seed Moth
12156,Willow Defoliation
12157,Euonymus Caterpillar
12158,Spruce Bud Moth
12159,Larch Bud Moth
12160,Pine Needle Sheathminer
12161,Cypress Looper
12162,Chrysomela Leaf Beetle
12163,Pine Colaspis
12164,Saddleback Looper
12165,Birch Leafroller
12166,New Mexico Fir Looper
12167,Striped Alder Sawfly
12168,Greenstriped Looper
12169,Willow Leaf Blotchminer
12170,Pine Sawfly
12171,Pinyon Sawfly
12172,<Neodiprion Gillettei>
12173,<Neodiprion Ventralis>
12174,Pine Looper
12175,<Zadiprion Rohweri>
12176,Bull Pine Sawfly
12177,Douglas-fir Budmoth
12178,Western Oak Looper
12179,Phantom Hemlock Looper
12180,Tent Caterpillars
12181,Abbot's Sawfly
12182,Slash Pine Sawfly
12183,Sand Pine Sawfly
12184,Melalueca Leaf Weevil
12185,Cypress Leaf Beetle
12186,<Nepytia Janetae>
12187,Oak Shothole Leafminer
12188,Elm Sawfly
12189,June Beetle
12190,Hickory Tussock Moth
12191,Pin Oak Sawfly
12192,Palmerworm
12193,Pitch Pine Looper
12194,Red Pine Sawfly
12195,Pine Tube Moth
12196,Baldcypress Leafroller
12197,Winter Moth
12198,Basswood Thrips
12199,Noctuid Moth
12200,Ash Leafroller
12201,Pacific Silver Fir Budmoth
12202,Red Pine Needle Midge
12203,Western Hemlock Looper
12204,Lodgepole Pine Sawfly
12205,Silverspotted Tiger Moth
12206,Green Alder Sawfly
12207,Conifer Sawflies
12208,Ambermarked Birch Leafminer
12209,Cycad Blue Butterfly
12210,European Elm Flea Weevil
12211,Eucalyptus Snout Beetle
12212,European Pine Needle Midge
12213,European Spruce Needleminer
12214,European Web-spinning Larch Sawfly
12215,Imported Willow Leaf Beetle
12216,Mimosa Webworm
12217,Poplar Sawfly
12218,Red Gum Lerp Psyllid
12219,European Spruce Sawfly
12220,Mountain-mahogany Moth
12221,Myoporum Thrips
12222,Koa Looper Moth
12223,Bare-patched Oak Leafroller
12224,Chinese Rose Beetle
12225,Rose Beetle
12226,Coconut Hispid Beetle
12227,Green Rose Chafer
12228,Stick Insect
12229,<Hulodes Caranea>
12230,Bagworm Moth
12231,Palau Coconut Beetle
12232,Madrone Thrips
12233,Thrips
12234,Fall Hardwood Defoliator Group
12235,Aroga Moth
12236,Aspen Twoleaf Tier
12237,Early Aspen Leafroller
12238,Cottonwood Leafblotch Miner 
12239,Tamarisk Leaf Beetles
12240,Mountain Girdle
12241,Box-Elder Tussock Moth 
12242,Spruce Budworm (C. orae)
12243,Battered Sallow
12244,Western False Hemlock Looper
12245,Speckled Green Fruitworm
12246,Late Birch Leaf Edgeminer
12247,Autumnal Moth
12248,Alder Woolly Sawfly
12249,Leaf Beetles
12250,Leafminers
12251,Basswood Leafminer
12252,Phyllocolpa Sawfly
12253,Zeugophora Leaf Beetle
12254,Phyllonorycter Leafblotch Miner
12255,Eriocraniid Moths
12256,Phyllocnistis Leafminer
12257,Leafrollers
12258,Nematinae Sawfly
12259,Mourning Cloak Butterfly
12260,Elm Zigzag Sawfly
12300,Budworm
12800,"Other Defoliator, Known (Code Pending)"
12900,Unknown Defoliator
13000,Other Chewing Insects and Allies
13001,Grasshopper
13002,Shorthorn Grasshoppers
13003,Black Cutworm
13004,Palau Coconut Beetle
13005,Clearwinged Grasshopper
13006,Cicadas
13007,Eurytomid Wasps
13008,<Euxoa Excellens>
13009,Whitefringed Beetles
13010,Pales Weevil
13011,Vegetable Weevil
13012,Periodical Cicada
13013,Migratory Grasshopper
13014,Valley Grasshopper
13015,Strawberry Root Weevil
13016,Black Vine Weevil
13017,Pandanus Beetle
13018,Spaeth Pandanus
13019,Agamemnon Butterfly
13020,Northern Pitch Twig Moth
13021,Ponderosa Pine Tip Moth
13022,Pine Needle Weevil
13023,Coconut Longhorned Grasshopper
13024,Clover Root Curculio
13025,Madrone Thrips
13026,Ash Plant Bug
13027,Shorthorned Grasshopper
13028,Pitch-Eating Weevil
13029,Eastern Pine Weevil
13030,Adana Tip Moth
13031,Asiatic Oak Weevil
13032,Weevil
13033,Caroline Shortnosed Weevil
13034,Conifer Seedling Weevil
13800,"Other Chewing Insect or Ally, Known (Code Pending)"
13900,Unknown Chewing Insect or Ally
14000,Sap Feeders
14001,Scale Insects
14002,Western Larch Woolly Aphid
14003,Balsam Woolly Adelgid
14004,Hemlock Woolly Adelgid
14005,Spiraling Whitefly
14006,Aphid
14007,Pine Spittlebug
14008,Western Pine Spittlebug
14009,Saratoga Spittlebug
14010,Spittlebug
14011,Wax Scale
14012,Pine Needle Scale
14014,Giant Conifer Aphids
14015,White Pine Aphid
14016,Beech Scale
14017,Spruce Aphid
14018,Woolly Apple Aphid
14019,Striped Mealybug
14020,Elongate Hemlock Scale
14021,Coconut Red Scale
14022,Pine Thrips
14023,Leucaena Psyllid
14024,Honeysuckle Aphids
14025,Egyptian Fluted Scale
14026,Lecanium Scale
14027,Common Falsepit Scale
14028,Oystershell Scale
14029,Pinyon Needle Scale
14030,Ponderosa Pine Twig Scale
14031,Pine Twig Scale
14032,Ponderosa Pine Scale
14033,Red Pine Scale
14034,Prescott Scale
14035,Treehoopers
14036,Hibiscus Psyllid
14037,Balsam Twig Aphid
14038,Hibiscus Mealybug
14039,Black Pineleaf Scale
14040,Spruce Spider Mite
14041,Twig Girdler
14042,Woolly Alder Aphid
14043,Maple Aphids
14044,Spruce Bud Scale
14045,Red Pine Adelgid
14046,Pine Leaf Adelgid
14047,White Pine Adelgid
14048,Pine Bark Adelgid
14049,Smoky-Winged Ash Aphid
14050,Mealybug
14051,Cottony Maple Scale
14052,Fir Mealybug
14053,Douglas-fir Mealybug
14054,Spruce Mealybug
14055,Hemispherical Scale
14056,Woolly Pine Needle Aphid
14057,Steatococcus Scale
14058,Pear Thrips
14059,Mulberry Whitefly
14060,Tuliptree Scale
14061,Pine Tortoise Scale
14062,Citrus Snow Scale
14063,Birch Aphid
14064,Kermes Scale
14065,Casuarina Spittlebug
14066,Giant Bark Aphid
14067,Woolly Pine Scale
14068,European Elm Scale
14069,Elm Scurfy Scale
14070,Magnolia Scale
14071,Beech Blight Aphid
14072,Beech Woolly Aphid
14073,Asian Cycad Scale
14074,European Fruit Lecanium Scale
14075,Lobate Lac Scale
14076,Calico Scale
14077,California Red Scale
14078,Circular Hemlock Scale
14079,Cottony Cushion Scale
14080,Eucalyptus Psyllid
14081,Golden Oak Scale
14082,Juniper Scale
14083,Pink Hibiscus Mealybug
14084,San Jose Scale
14085,Oak Pit Scale A. Minus
14086,Bluegum Psyllid
14087,Linden Aphid
14088,Norway Maple Aphid
14089,Camphor Scale
14090,Spotted Lanternfly
14091,Ash Whitefly
14092,Cicadas
14093,Ash Plant Bug
14094,Coconut Scale
14095,Leafhopper
14096,California Tortoiseshell
14097,Tarnished Plant Bug
14098,Adelgids
14099,Harrisia Cactus Mealybug
14100,Crepemyrtle Bark Scale
14800,"Other Sap Feeder, Known (Code Pending)"
14900,Unknown Sap Feeder
15000,Wood Borers
15001,Shoot Borers
15002,Termites
15003,Ponderosa Pine Bark Borer
15004,Bronze Birch Borer
15005,Twolined Chestnut Borer
15006,Bronze Poplar Borer
15007,Carpenter Bees
15008,Flatheaded Borer
15009,Golden Buprestid
15010,Carpenter Ants
15011,Gouty Pitch Midge
15012,Shootboring Sawflies
15013,Roundheaded Borer
15014,Flatheaded Appletree Borer
15015,Cranberry Girdler
15016,Columbian Timber Beetle
15017,Pitted Ambrosia Beetle
15018,Carpenterworm Moths
15019,Poplar-And-Willow Borer
15020,Pine Reproduction Weevil
15021,Douglas-fir Twig Weevil
15022,Zimmerman Pine Moth
15023,Oak Twig Borers
15024,Twig Pruner
15025,Lesser Cornstalk Borer
15026,Red Oak Borer
15027,Ponderous Borer
15028,Eastern Pine Shoot Borer
15029,Western Pine Shoot Borer
15030,Eucosma Shoot Borers
15031,Sugar Maple Borer
15032,Goes Longhorn Beetles
15033,Pine Root Collar Weevil
15034,Warren Root Collar Weevil
15035,Powderpost Beetles
15036,Tarnished Plant Bug
15037,Bark Weevils
15038,White Pine Barkminer Moth
15039,Locust Borer
15040,California Flatheaded Borer
15041,Flatheaded Fir Borer
15042,Whitespotted Sawyer
15043,Redheaded Ash Borer
15044,Western Ash Borer
15045,Oberea Shoot Borers
15046,Eucalyptus Longhorned Borer (P. semipunctata)
15047,Northern Pine Weevil
15048,Balsam Bark Weevil
15049,Monterey Pine Weevil
15050,Engelmann Spruce Weevil
15051,Lodgepole Terminal Weevil
15052,Ambrosia Beetles (Pinhole Borers)
15053,Cottonwood Borer
15054,Balsam Shootboring Sawfly
15055,Pine Gall Weevil
15056,Ash Borer
15057,Ash Borer / Lilac Borer
15058,Carpenterworm
15059,Maple Shoot Borers
15060,Western Subterranean Termite
15061,Coconut Trunk Weevil
15062,New Guinea Sugarcane Weevil
15063,European Pine Shoot Moth
15064,Western Pine Tip Moth
15065,Nantucket Pine Tip Moth
15066,Lodgepole Pine Tip Moth
15067,Southwestern Pine Tip Moth
15068,Poplar Borer
15069,Roundheaded Appletree Borer
15070,Saperda Shoot Borer
15071,Clearwing Moths
15072,Dogwood Borer
15073,Roundheaded Fir Borer
15074,Western Larch Borer
15075,Western Cedar Borer
15076,Douglas-fir Pitch Moth
15077,Sequoia Pitch Moth
15078,Black Twig Borer
15079,Pacific Dampwood Termite
15080,Subtropical Pine Tip Moth
15081,Granulate Ambrosia Beetle
15082,Asian Longhorned Beetle
15083,Cottonwood Twig Borer
15084,Southern Pine Sawyer
15085,Banded Ash Borer
15086,Sitka Spruce Weevil
15087,Emerald Ash Borer
15088,Hemlock Borer
15089,Formosan Subterranean Termite
15090,Sirex Woodwasp
15091,Oregon Fir Sawyer
15092,Cypress Weevil
15093,Camphor Shot Borer
15094,Goldspotted Oak Borer
15095,European Oak Borer
15096,Black Stem Borer
15097,<Icosium Tomentosum>
15098,Cherry Bark Tortrix
15099,Eucalyptus Longhorned Borer (P. recurva)
15100,Japanese Cedar Longhorn Beetle
15101,Peach Twig Borer
15102,Soapberry Borer
15103,Oak Splendor Beetle
15104,Polyphagous Shot Hole Borer
15105,Oak Twig Pruner
15106,Horntails
15107,Striped Ambrosia Beetle
15108,Redbay Ambrosia Beetle
15109,Eastern Poplar Buprestid
15110,Flatheaded Poplar Borer
15111,Mexican Goldspotted Oak Borer
15112,Polyphagus Shothole Borer
15113,Kuroshio Shothole Borer
15114,Ambrosia Beetles
15800,"Other Wood Borer, Known (Code Pending)"
15900,Unknown Wood Borer
16000,Seed/Cone/Flower/Fruit Feeders
16001,Douglas-fir Cone Moth
16002,Lodgepole Cone Beetle
16003,Limber Pine Cone Beetle
16004,Mountain Pine Cone Beetle
16005,Ponderosa Pine Cone Beetle
16006,Monterey Pine Cone Beetle
16007,Red Pine Cone Beetle
16008,White Pine Cone Beetle
16009,Black Walnut Curculio
16010,Douglas-fir Cone Gall Midge
16011,Douglas-fir Cone Scale Midge
16012,Acorn/Nut Weevils
16013,Caroline Fruitfly
16014,Spruce Bud Midge
16015,Fir Coneworm
16016,Southern Pine Coneworm
16017,Ponderosa Pine Coneworm
16018,Loblolly Pine Coneworm
16019,Ponderosa Twig Moth
16020,<Dioryctria Pseudotsugella>
16021,Dioryctria Moths
16022,Lodgepole Cone Moth
16023,Seed Chalcid
16024,Slash Pine Flower Thrips
16025,White Spruce Cone Maggot
16026,Longleaf Pine Seed Worm or Moth
16027,Ponderosa Pine Seed Moth
16028,Spruce Seed Moth
16029,Boxelder Bug
16030,Leaffooted Pine Seed Bug
16031,Western Conifer-Seed Bug
16032,Hollyhock Thrips
16033,Subalpine Fir Seed Chalcid
16034,Spruce Seed Chalcid
16035,Pine Seed Chalcid
16036,Fir Seed Chalcid
16037,Douglas-fir Seed Chalcid
16038,Yellow Poplar Weevil
16039,Fruitpiercing Moth
16040,Roundheaded Cone Borer
16041,Mango Shoot Caterpillar
16042,Coneworm (Phycitinae)
16043,Harvester Ants
16044,Citrus Flower Moth
16045,Fir Cone Maggot
16046,Spruce Cone Maggot
16047,Shieldbacked Pine Seed Bug
16048,Coneworm
16049,Prairie Tent Caterpillar
16050,Jack Pine Tip Beetle
16051,Webbing Coneworm
16052,Blister Coneworm
16053,Southern Cone Gall Midge
16054,Seed Bugs
